"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 06 11:47:46 CST 2020","Wed May 06 11:47:46 CST 2020","455","","Traversal","","Traversal",".closest() - get closest ancestor DOM element",".closest() - get closest ancestor DOM element",""
"passed","Wed May 06 11:47:17 CST 2020","Wed May 06 11:47:18 CST 2020","1117","","Querying","","Querying","best practices - selecting elements","best practices - selecting elements",""
"passed","Wed May 06 11:44:42 CST 2020","Wed May 06 11:44:43 CST 2020","425","","Assertions Explicit Assertions","","Assertions Explicit Assertions","pass your own callback function to should()","pass your own callback function to should()",""
"passed","Wed May 06 11:45:26 CST 2020","Wed May 06 11:45:27 CST 2020","384","","Cypress.arch","","Cypress.arch","Get CPU architecture name of underlying OS","Get CPU architecture name of underlying OS",""
"passed","Wed May 06 11:44:06 CST 2020","Wed May 06 11:44:07 CST 2020","792","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Wed May 06 11:47:49 CST 2020","Wed May 06 11:47:50 CST 2020","512","","Traversal","","Traversal",".next() - get next sibling DOM element",".next() - get next sibling DOM element",""
"passed","Wed May 06 11:47:30 CST 2020","Wed May 06 11:47:32 CST 2020","2584","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() retries until assertions pass","cy.spy() retries until assertions pass",""
"passed","Wed May 06 11:47:33 CST 2020","Wed May 06 11:47:33 CST 2020","582","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.clock() - control time in the browser","cy.clock() - control time in the browser",""
"passed","Wed May 06 11:44:58 CST 2020","Wed May 06 11:44:58 CST 2020","429","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Wed May 06 11:48:19 CST 2020","Wed May 06 11:48:27 CST 2020","7656","","Viewport","","Viewport","cy.viewport() - set the viewport size and dimension","cy.viewport() - set the viewport size and dimension",""
"passed","Wed May 06 11:47:16 CST 2020","Wed May 06 11:47:17 CST 2020","518","","Querying","","Querying","cy.root() - query the root DOM element","cy.root() - query the root DOM element",""
"passed","Wed May 06 11:45:11 CST 2020","Wed May 06 11:45:11 CST 2020","498","","Cookies","","Cookies","cy.setCookie() - set a browser cookie","cy.setCookie() - set a browser cookie",""
"passed","Wed May 06 11:46:56 CST 2020","Wed May 06 11:46:57 CST 2020","1020","","Network Requests","","Network Requests","cy.request() - verify response using BDD syntax","cy.request() - verify response using BDD syntax",""
"passed","Wed May 06 11:47:50 CST 2020","Wed May 06 11:47:51 CST 2020","570","","Traversal","","Traversal",".nextUntil() - get next sibling DOM elements until next el",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed May 06 11:44:10 CST 2020","Wed May 06 11:44:11 CST 2020","1415","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Wed May 06 11:48:52 CST 2020","Wed May 06 11:48:58 CST 2020","5742","","Window","","Window","cy.window() - get the global window object","cy.window() - get the global window object",""
"passed","Wed May 06 11:45:28 CST 2020","Wed May 06 11:45:28 CST 2020","410","","Cypress.env()","","Cypress.env()","Get environment variables","Get environment variables",""
"passed","Wed May 06 11:44:01 CST 2020","Wed May 06 11:44:02 CST 2020","921","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Wed May 06 11:47:51 CST 2020","Wed May 06 11:47:52 CST 2020","465","","Traversal","","Traversal",".parent() - get parent DOM element from DOM elements",".parent() - get parent DOM element from DOM elements",""
"passed","Wed May 06 11:47:47 CST 2020","Wed May 06 11:47:47 CST 2020","436","","Traversal","","Traversal",".filter() - get DOM elements that match the selector",".filter() - get DOM elements that match the selector",""
"passed","Wed May 06 11:44:03 CST 2020","Wed May 06 11:44:04 CST 2020","683","","Actions","","Actions",".submit() - submit a form",".submit() - submit a form",""
"passed","Wed May 06 11:48:11 CST 2020","Wed May 06 11:48:12 CST 2020","1474","","Utilities","","Utilities","Cypress.Promise - instantiate a bluebird promise","Cypress.Promise - instantiate a bluebird promise",""
"passed","Wed May 06 11:44:00 CST 2020","Wed May 06 11:44:01 CST 2020","563","","Actions","","Actions",".focus() - focus on a DOM element",".focus() - focus on a DOM element",""
"passed","Wed May 06 11:45:30 CST 2020","Wed May 06 11:45:30 CST 2020","427","","Cypress.spec","","Cypress.spec","Get current spec information","Get current spec information",""
"passed","Wed May 06 11:46:34 CST 2020","Wed May 06 11:46:40 CST 2020","6444","","Navigation","","Navigation","cy.go() - go back or forward in the browser's history","cy.go() - go back or forward in the browser's history",""
"passed","Wed May 06 11:45:05 CST 2020","Wed May 06 11:45:10 CST 2020","4562","","Cookies","","Cookies","cy.getCookie() - get a browser cookie","cy.getCookie() - get a browser cookie",""
"passed","Wed May 06 11:44:07 CST 2020","Wed May 06 11:44:07 CST 2020","470","","Actions","","Actions",".rightclick() - right click on a DOM element",".rightclick() - right click on a DOM element",""
"passed","Wed May 06 11:48:03 CST 2020","Wed May 06 11:48:08 CST 2020","5193","","Utilities","","Utilities","Cypress._ - call a lodash method","Cypress._ - call a lodash method",""
"passed","Wed May 06 11:47:49 CST 2020","Wed May 06 11:47:49 CST 2020","504","","Traversal","","Traversal",".last() - get last DOM element",".last() - get last DOM element",""
"passed","Wed May 06 11:45:29 CST 2020","Wed May 06 11:45:29 CST 2020","471","","Cypress.platform","","Cypress.platform","Get underlying OS name","Get underlying OS name",""
"passed","Wed May 06 11:44:04 CST 2020","Wed May 06 11:44:06 CST 2020","2359","","Actions","","Actions",".click() - click on a DOM element",".click() - click on a DOM element",""
"passed","Wed May 06 11:44:56 CST 2020","Wed May 06 11:44:57 CST 2020","374","","Connectors","","Connectors",".spread() - spread an array as individual args to callback function",".spread() - spread an array as individual args to callback function",""
"passed","Wed May 06 11:45:20 CST 2020","Wed May 06 11:45:24 CST 2020","4835","","Cypress.Commands","","Cypress.Commands",".add() - create a custom command",".add() - create a custom command",""
"passed","Wed May 06 11:45:11 CST 2020","Wed May 06 11:45:12 CST 2020","627","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Wed May 06 11:47:01 CST 2020","Wed May 06 11:47:03 CST 2020","2293","","Network Requests","","Network Requests","cy.route() - route responses to matching requests","cy.route() - route responses to matching requests",""
"passed","Wed May 06 11:49:06 CST 2020","Wed May 06 11:49:10 CST 2020","4479","","","","","should navigate to TodoMVC App","should navigate to TodoMVC App",""
"passed","Wed May 06 11:45:27 CST 2020","Wed May 06 11:45:28 CST 2020","375","","Cypress.dom","","Cypress.dom",".isHidden() - determine if a DOM element is hidden",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed May 06 11:46:26 CST 2020","Wed May 06 11:46:27 CST 2020","508","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","Cypress.Screenshot.defaults() - change default config of screenshots","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Wed May 06 11:46:50 CST 2020","Wed May 06 11:46:55 CST 2020","4535","","Network Requests","","Network Requests","cy.server() - control behavior of network requests and responses","cy.server() - control behavior of network requests and responses",""
"passed","Wed May 06 11:44:13 CST 2020","Wed May 06 11:44:15 CST 2020","2401","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed May 06 11:45:12 CST 2020","Wed May 06 11:45:12 CST 2020","541","","Cookies","","Cookies","cy.clearCookies() - clear browser cookies","cy.clearCookies() - clear browser cookies",""
"passed","Wed May 06 11:44:37 CST 2020","Wed May 06 11:44:41 CST 2020","4625","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
"passed","Wed May 06 11:45:52 CST 2020","Wed May 06 11:45:57 CST 2020","5175","","Local Storage","","Local Storage","cy.clearLocalStorage() - clear all data in local storage","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Wed May 06 11:44:43 CST 2020","Wed May 06 11:44:43 CST 2020","433","","Assertions Explicit Assertions","","Assertions Explicit Assertions","finds element by class name regex","finds element by class name regex",""
"passed","Wed May 06 11:45:10 CST 2020","Wed May 06 11:45:11 CST 2020","609","","Cookies","","Cookies","cy.getCookies() - get browser cookies","cy.getCookies() - get browser cookies",""
"passed","Wed May 06 11:45:44 CST 2020","Wed May 06 11:45:45 CST 2020","875","","Files","","Files","cy.writeFile() - write to a file","cy.writeFile() - write to a file",""
"passed","Wed May 06 11:47:53 CST 2020","Wed May 06 11:47:53 CST 2020","484","","Traversal","","Traversal",".prev() - get previous sibling DOM element",".prev() - get previous sibling DOM element",""
"passed","Wed May 06 11:46:04 CST 2020","Wed May 06 11:46:09 CST 2020","4612","","Location","","Location","cy.hash() - get the current URL hash","cy.hash() - get the current URL hash",""
"passed","Wed May 06 11:44:28 CST 2020","Wed May 06 11:44:30 CST 2020","1696","","Aliasing","","Aliasing",".as() - alias a route for later use",".as() - alias a route for later use",""
"passed","Wed May 06 11:46:09 CST 2020","Wed May 06 11:46:09 CST 2020","450","","Location","","Location","cy.location() - get window.location","cy.location() - get window.location",""
"passed","Wed May 06 11:47:33 CST 2020","Wed May 06 11:47:34 CST 2020","600","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.tick() - move time in the browser","cy.tick() - move time in the browser",""
"passed","Wed May 06 11:47:54 CST 2020","Wed May 06 11:47:55 CST 2020","430","","Traversal","","Traversal",".siblings() - get all sibling DOM elements",".siblings() - get all sibling DOM elements",""
"passed","Wed May 06 11:48:09 CST 2020","Wed May 06 11:48:09 CST 2020","951","","Utilities","","Utilities","Cypress.Blob - blob utilities and base64 string conversion","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed May 06 11:49:10 CST 2020","Wed May 06 11:49:12 CST 2020","1128","","","","","should be able to add a new todo to the list","should be able to add a new todo to the list",""
"passed","Wed May 06 11:47:50 CST 2020","Wed May 06 11:47:50 CST 2020","485","","Traversal","","Traversal",".nextAll() - get all next sibling DOM elements",".nextAll() - get all next sibling DOM elements",""
"passed","Wed May 06 11:44:07 CST 2020","Wed May 06 11:44:09 CST 2020","1408","","Actions","","Actions",".check() - check a checkbox or radio element",".check() - check a checkbox or radio element",""
"passed","Wed May 06 11:44:02 CST 2020","Wed May 06 11:44:03 CST 2020","1363","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Wed May 06 11:44:44 CST 2020","Wed May 06 11:44:44 CST 2020","405","","Assertions Explicit Assertions","","Assertions Explicit Assertions","assert - assert shape of an object","assert - assert shape of an object",""
"passed","Wed May 06 11:47:41 CST 2020","Wed May 06 11:47:46 CST 2020","4741","","Traversal","","Traversal",".children() - get child DOM elements",".children() - get child DOM elements",""
"passed","Wed May 06 11:48:58 CST 2020","Wed May 06 11:48:59 CST 2020","715","","Window","","Window","cy.document() - get the document object","cy.document() - get the document object",""
"passed","Wed May 06 11:48:09 CST 2020","Wed May 06 11:48:10 CST 2020","481","","Utilities","","Utilities","Cypress.minimatch - test out glob patterns against strings","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed May 06 11:47:47 CST 2020","Wed May 06 11:47:48 CST 2020","539","","Traversal","","Traversal",".find() - get descendant DOM elements of the selector",".find() - get descendant DOM elements of the selector",""
"passed","Wed May 06 11:47:54 CST 2020","Wed May 06 11:47:54 CST 2020","501","","Traversal","","Traversal",".prevUntil() - get all previous sibling DOM elements until el",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Wed May 06 11:44:44 CST 2020","Wed May 06 11:44:44 CST 2020","391","","Assertions Explicit Assertions","","Assertions Explicit Assertions","matches unknown text between two elements","matches unknown text between two elements",""
"passed","Wed May 06 11:46:59 CST 2020","Wed May 06 11:47:01 CST 2020","1293","","Network Requests","","Network Requests","cy.request() - save response in the shared test context","cy.request() - save response in the shared test context",""
"passed","Wed May 06 11:48:43 CST 2020","Wed May 06 11:48:45 CST 2020","1662","","Waiting","","Waiting","cy.wait() - wait for a specific route","cy.wait() - wait for a specific route",""
"passed","Wed May 06 11:47:10 CST 2020","Wed May 06 11:47:15 CST 2020","4863","","Querying","","Querying","cy.get() - query DOM elements","cy.get() - query DOM elements",""
"passed","Wed May 06 11:44:42 CST 2020","Wed May 06 11:44:42 CST 2020","418","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Wed May 06 11:45:25 CST 2020","Wed May 06 11:45:25 CST 2020","444","","Cypress.Cookies","","Cypress.Cookies",".preserveOnce() - preserve cookies by key",".preserveOnce() - preserve cookies by key",""
"passed","Wed May 06 11:44:56 CST 2020","Wed May 06 11:44:56 CST 2020","372","","Connectors","","Connectors",".invoke() - invoke a function on the current subject",".invoke() - invoke a function on the current subject",""
"passed","Wed May 06 11:44:58 CST 2020","Wed May 06 11:44:58 CST 2020","393","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
